label,latitude,longitude
Mendocino,39.312703,-123.789228
Fort Bragg,39.444667,-123.805874
Westport,39.637222,-123.784026
Anchor Bay,38.802617,-123.57778
Stewarts Point,38.652051,-123.400064
Fort Ross,38.513541,-123.243833
