northings_y,latitude,eastings_x,longitude,kelp_fraction,area
4363500,39.4181267,429300,-123.8213254,0.20773,186.957
4363200,39.4154336,429420,-123.8198998,0.23115,208.035
4363200,39.4154361,429450,-123.8195514,0.41319,371.871
4363200,39.4154385,429480,-123.8192029,0.36758,330.822
4363200,39.415441,429510,-123.8188544,0.24437,219.933
4363200,39.4154459,429570,-123.8181575,0.23757,213.81300000000002
4363170,39.4151658,429450,-123.8195482,0.3081,277.28999999999996
4362870,39.4124579,429390,-123.8202134,0.20287,182.583
4362840,39.4121852,429360,-123.8205587,0.23753,213.777
4361520,39.4002627,429000,-123.8246,0.2033,182.97
4361340,39.3986409,429000,-123.8245809,0.23787,214.083
4361310,39.3983657,428940,-123.8252745,0.23836,214.524
4361310,39.3983681,428970,-123.8249261,0.40813,367.317
4361310,39.3983706,429000,-123.8245777,0.32676,294.084
4361310,39.3983756,429060,-123.823881,0.20348,183.132
4361280,39.3980954,428940,-123.8252713,0.37433,336.897
4361280,39.3980979,428970,-123.8249229,0.40813,367.317
4361280,39.3981003,429000,-123.8245746,0.33709,303.38100000000003
4361280,39.3981028,429030,-123.8242262,0.22601,203.409
4361250,39.3978276,428970,-123.8249198,0.23763,213.86700000000002
4361220,39.3975671,429090,-123.8235231,0.25155,226.395
4361190,39.3972944,429060,-123.8238683,0.24738,222.642
4361190,39.3972968,429090,-123.8235199,0.24037,216.333
4361010,39.3956603,428910,-123.825591,0.23121,208.089
4360920,39.3948519,428940,-123.8252331,0.27462,247.158
4360920,39.3948543,428970,-123.8248847,0.2825,254.24999999999997
4360530,39.3913454,429030,-123.8241467,0.20339,183.051
4360050,39.3870207,429030,-123.8240958,0.20337,183.033
4360020,39.3867529,429060,-123.8237443,0.24474,220.26600000000002
4359990,39.3864826,429060,-123.8237411,0.32785,295.065
4357710,39.3659426,429090,-123.8231515,0.2947,265.23
4357440,39.3635321,429360,-123.8199891,0.33346,300.114
4357380,39.3629939,429390,-123.8196346,0.23614,212.52599999999998
4357350,39.3627261,429420,-123.8192832,0.34014,306.126
4357320,39.3624583,429450,-123.8189318,0.7462,671.5799999999999
4357290,39.362156,429060,-123.8234553,0.58955,530.595
4357110,39.3605539,429300,-123.8206507,0.4922,442.98
4357110,39.3605564,429330,-123.8203025,0.57938,521.442
4357110,39.3605613,429390,-123.8196061,0.47812,430.308
4357110,39.3605637,429420,-123.8192579,0.51935,467.41499999999996
4357080,39.3602983,429480,-123.8185584,0.42942,386.478
4354440,39.3365073,429420,-123.8189771,0.23138,208.242
4353600,39.3289683,429780,-123.8147123,0.20574,185.166
4350600,39.3019579,430020,-123.8116157,0.29429,264.861
4350450,39.3006402,430440,-123.8067295,0.28412,255.708
4350450,39.3006426,430470,-123.8063816,0.2762,248.58
4350420,39.3003699,430440,-123.8067264,0.23753,213.777
4350420,39.3003723,430470,-123.8063785,0.28687,258.183
4350180,39.2982746,431280,-123.7969608,0.57439,516.9509999999999
4350060,39.2971335,430530,-123.8056456,0.49145,442.305
4350060,39.2971791,431100,-123.7990359,0.33241,299.169
4350060,39.2971815,431130,-123.798688,0.31744,285.696
4350030,39.2968632,430530,-123.8056425,0.54733,492.597
4350030,39.2968657,430560,-123.8052946,0.38772,348.94800000000004
4350030,39.2968681,430590,-123.8049467,0.24279,218.511
4350030,39.2969064,431070,-123.7993807,0.2345,211.04999999999998
4350030,39.2969088,431100,-123.7990328,0.60076,540.684
4350030,39.2969112,431130,-123.7986849,0.56576,509.184
4350030,39.2969136,431160,-123.798337,0.22968,206.712
4350030,39.2969183,431220,-123.7976413,0.24432,219.888
4350000,39.2965929,430530,-123.8056394,0.23073,207.65699999999998
4350000,39.2965954,430560,-123.8052915,0.39279,353.51099999999997
4350000,39.2965978,430590,-123.8049436,0.3767,339.03
4350000,39.2966361,431070,-123.7993776,0.33241,299.169
4350000,39.2966385,431100,-123.7990297,0.55335,498.015
4350000,39.2966409,431130,-123.7986818,0.55432,498.88800000000003
4350000,39.2966433,431160,-123.798334,0.39983,359.84700000000004
4350000,39.296648,431220,-123.7976382,0.23752,213.768
4349970,39.2963202,430500,-123.8059841,0.28442,255.978
4349970,39.2963226,430530,-123.8056363,0.33388,300.492
4349970,39.2963275,430590,-123.8049405,0.23038,207.342
4349970,39.2963299,430620,-123.8045926,0.27486,247.374
4349970,39.2963658,431070,-123.7993745,0.28568,257.11199999999997
4349970,39.2963682,431100,-123.7990266,0.53676,483.084
4349970,39.2963706,431130,-123.7986788,0.50942,458.478
4349970,39.296373,431160,-123.7983309,0.43444,390.996
4349970,39.2963754,431190,-123.797983,0.4826,434.34
4349970,39.2963777,431220,-123.7976351,0.44995,404.95500000000004
4349940,39.2960499,430500,-123.805981,0.32092,288.828
4349940,39.2960523,430530,-123.8056332,0.71306,641.754
4349940,39.2960548,430560,-123.8052853,0.4517,406.53
4349940,39.2960596,430620,-123.8045895,0.23782,214.038
4349940,39.2960931,431040,-123.7997193,0.45571,410.139
4349940,39.2960955,431070,-123.7993714,0.44582,401.238
4349940,39.2960979,431100,-123.7990236,0.50189,451.70099999999996
4349940,39.2961003,431130,-123.7986757,0.45135,406.215
4349910,39.2957796,430500,-123.8059779,0.23016,207.144
4349910,39.295782,430530,-123.8056301,0.43468,391.212
4349910,39.2957845,430560,-123.8052822,0.2762,248.58
4349910,39.2957917,430650,-123.8042386,0.23782,214.038
4349910,39.2958061,430830,-123.8021513,0.225,202.5
4349910,39.2958085,430860,-123.8018035,0.24228,218.052
4349910,39.2958109,430890,-123.8014556,0.24562,221.058
4349910,39.2958133,430920,-123.8011077,0.39977,359.793
4349910,39.2958156,430950,-123.8007599,0.44612,401.50800000000004
4349910,39.295818,430980,-123.800412,0.32061,288.549
4349910,39.2958204,431010,-123.8000641,0.32526,292.734
4349910,39.2958228,431040,-123.7997162,0.60076,540.684
4349910,39.2958252,431070,-123.7993684,0.50293,452.637
4349910,39.2958276,431100,-123.7990205,0.55437,498.93300000000005
4349910,39.29583,431130,-123.7986726,0.61271,551.439
4349880,39.2955238,430680,-123.8038876,0.32424,291.816
4349880,39.2955334,430800,-123.8024961,0.23464,211.176
4349880,39.2955358,430830,-123.8021483,0.33012,297.108
4349880,39.2955382,430860,-123.8018004,0.4517,406.53
4349880,39.2955406,430890,-123.8014525,0.55784,502.056
4349880,39.295543,430920,-123.8011047,0.60463,544.167
4349880,39.2955453,430950,-123.8007568,0.47575,428.175
4349880,39.2955477,430980,-123.8004089,0.55364,498.276
4349880,39.2955501,431010,-123.800061,0.32492,292.428
4349880,39.2955525,431040,-123.7997132,0.36611,329.49899999999997
4349880,39.2955549,431070,-123.7993653,0.54788,493.09200000000004
4349880,39.2955573,431100,-123.7990174,0.60725,546.525
4349850,39.2952511,430650,-123.8042324,0.23821,214.389
4349850,39.2952535,430680,-123.8038845,0.23107,207.963
4349850,39.2952655,430830,-123.8021452,0.23464,211.176
4349850,39.2952679,430860,-123.8017973,0.37169,334.521
4349850,39.2952703,430890,-123.8014494,0.55376,498.384
4349850,39.2952727,430920,-123.8011016,0.54704,492.33599999999996
4349850,39.295275,430950,-123.8007537,0.49652,446.868
4349850,39.2952774,430980,-123.8004058,0.60926,548.3340000000001
4349850,39.2952798,431010,-123.800058,0.65118,586.062
4349850,39.2952822,431040,-123.7997101,0.6394,575.4599999999999
4349850,39.2952846,431070,-123.7993622,0.4911,441.99
4349850,39.295287,431100,-123.7990144,0.49753,447.777
4349850,39.2952894,431130,-123.7986665,0.63106,567.954
4349850,39.2952918,431160,-123.7983186,0.88408,795.672
4349820,39.2949952,430830,-123.8021421,0.24463,220.167
4349820,39.2949976,430860,-123.8017942,0.49456,445.104
4349820,39.295,430890,-123.8014464,0.66197,595.7729999999999
4349820,39.2950024,430920,-123.8010985,0.54145,487.305
4349820,39.2950047,430950,-123.8007506,0.44612,401.50800000000004
4349820,39.2950071,430980,-123.8004028,0.44582,401.238
4349820,39.2950095,431010,-123.8000549,0.46386,417.474
4349820,39.2950119,431040,-123.799707,0.37621,338.589
4349820,39.2950143,431070,-123.7993591,0.31774,285.966
4349820,39.2950167,431100,-123.7990113,0.33597,302.373
